RC	36925	53678	298769	264759	826528	363220	405924	512117	303423	145495	77513	42528	55303	85512	135398	62304	28764	9082	11238	10082	5592	4954	4420	5081	2156	3576	1563	983	1302	2063	898	1078	1178	852	2855	2091	720	243	0	560	0	0	0	0	0	0	0	0	0	0
LTR	1288153	1626053	1788617	1340562	889635	1126772	831402	837575	779040	734798	711481	864877	465661	343030	333795	382088	303103	509521	611533	739902	766852	720844	769058	633767	579568	483575	388385	335007	231636	185693	140978	95812	48688	33432	16545	10284	2165	1116	686	0	0	0	0	0	0	0	0	0	0	0
Retroposon	39920	117850	242078	299863	328876	227410	115168	71811	61950	51336	41550	31565	25809	38222	41111	22183	19909	16583	13092	18059	21686	32929	40659	54193	59957	74869	66018	57261	47898	34718	28642	22952	12536	8773	2359	3062	558	0	60	0	0	0	0	0	0	0	0	0	0	0
Unknown	681080	548517	502549	733623	621769	484776	370890	330393	296534	294906	285083	245748	218154	161999	132187	120498	107543	121098	152968	142576	112521	163159	153431	62136	53913	58447	46435	37111	27666	17279	17810	12171	4374	2125	3708	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SINE	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	79	68	0	0	77	46	29	0	219	101	0	0	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINE	18199	118160	210208	79694	67914	151079	247401	207042	387268	394744	293417	625851	552697	462814	439009	542354	653147	715153	599075	617464	703161	818563	809203	745204	606846	551798	471170	428195	347533	265709	231183	152875	119735	64316	34437	16639	8463	2529	837	277	0	0	0	0	0	0	0	0	0	0
DNA	65222	88560	206388	173380	156826	190990	68267	37142	34181	24775	21347	25782	31758	21714	12792	5315	3040	4407	4506	3758	2065	4715	8333	8113	10583	11626	18593	17502	16616	22844	20557	9810	9788	4263	3688	2341	2019	0	0	269	0	0	0	0	0	0	0	0	0	0
